series,volume,year,page,act_number,act_type,pope,citation,source_pdf_url,evidence_type,rubric_latin,incipit_latin,image_title_latin,image_title_vernacular,image_subject,church_or_sanctuary,locality,diocese_latin,diocese_modern,country,act_date,coronation_date,legate,confidence,notes
ASS,6,1870,353,,Causa apud S. Congregationem Rituum (concessio et approbatio Officii et Missae propriae) cum informatione praevia,Pius PP. IX,"ASS 6 (1870), p. 353",https://www.vatican.va/archive/ass/documents/ASS-06-1870-71-ocr.pdf,retrospective_attestation,INSULAE SARDINIAE. CONCESSIONIS ET APPROBATIONIS OFFICII ET MISSAE PROPRIAE IN HONOREM B. V. A BONO AERE NUNCUPATAE.,"Antequam referam S. Congregationis Decretum, nonnulla indicabo, quae ostendunt, quomodo solent eiusmodi causae pertractari",Beata Virgo Maria a Bono Aere nuncupata (de Bonaria),Maria Vergine di Bonaria,Blessed Virgin Mary,"Sanctuarium B. V. Mariae a Bono Aere, coenobio Ordinis B. M. V. de Mercede adnexum","Bonaria, on the hill overlooking Cagliari (Calaris), Sardinia",Calaritana,Cagliari,Italy,1871-04-22,1870-04-24,,high,"Key sentence, on printed p. 354: 'Insignis haec B. Virginis imago ex Capituli Vaticani Decreto die 24 Aprilis 1870 aurea corona rite decorata est.' Crowning by the Chapter of St Peter's (Capitulum Vaticanum). Page set to 353, where the item ('INSULAE SARDINIAE ...') begins; the coronation statement is on p. 354. The passage is the editorial 'Brevis informatio' preceding the S.R.C. decree, hence incipit_latin is the editorial opening, not an act body. Vernacular title taken from the Italian book cited in the text ('Della statua miracolosa di Maria Vergine di Bonaria'). Volume 6 spans 1870-71; the related decree is dated 22 April 1871. Country derived from 'in Sardiniae insula' / 'Calarim'. OCR of the rubric reads 'A BONO AÈRE'."
ASS,9,1876,167,,Breve (Litterae Apostolicae sub annulo Piscatoris),Pius PP. IX,"ASS 9 (1876), p. 167",https://www.vatican.va/archive/ass/documents/ASS-09-1876-ocr.pdf,papal_coronation_act,"Eminentissimo Archiepiscopo Bononiensi Breve, quo indulgentiae quaedam a Sanctissimo conceduntur.","Qui vel a teneris annis singulari obsequio, intimoque cordis affectu sanctam Dei Genitricem Mariam coluimus","Beata Maria Virgo cum Divino puero Iesu, a Victoria dicta",,Blessed Virgin Mary,Templum Abbatiale SS. Salvatoris,Bologna (Bononia),Bononiensis,Bologna,Italy,1875-07-16,1875-08-15,,high,"Pius IX grants the Cardinal Archbishop of Bologna, 'tamquam Delegatum Nostrum', the faculty to place a golden crown 'Nostro nomine' on the image on 15 August of the current year ('hoc vertente anno, die decimaquinta mensis Augusti'); since the Brief is dated 16 July 1875, the coronation date is 1875-08-15. Classified papal_coronation_act because this document IS the granting act (it also has the character of a delegation). The delegate is addressed only as 'Venerabilis Frater' / 'Eminentissimo Archiepiscopo Bononiensi' and is not named, hence legate: null. Petitioner: Archangelus Maria Gatti, Abbot Visitator General of the Canons Regular of the Lateran. Act begins on printed p. 167 under the heading 'EX VATICANO' (passage printed_page was 168). OCR: 'supradicto cognationis die' read as 'coronationis die'; 'translatant' for 'translatam'. Volume 9 = 1876 but the Brief is of 1875. Country derived from 'Bononiae'."
ASS,9,1876,373,,Causa apud S. Congregationem Rituum (concessio et approbatio Officii et Missae propriae) - Advocati defensio,Pius PP. IX,"ASS 9 (1876), p. 373",https://www.vatican.va/archive/ass/documents/ASS-09-1876-ocr.pdf,retrospective_attestation,"VENETEN. Concessionis et approbationis Officii et Missae propriae Manifestationis S. Imaginis B. Annae apud Britones pro die 7 martii, Officii et Missae propriae in honorem eiusdem S. Annae pro die 26 iulii, nec non concessionis et approbationis Missae votivae propriae.","Intra fines cuiusdam paroeciae Pluneret nuncupatae, Dioecesis Venetensis, extat oppidum quoddam a S. Anna nomen habens",Simulacrum Virginis Mariae,,Blessed Virgin Mary,Sanctuarium S. Annae (later raised to Basilica Minor),"le Bourg de Sainte-Anne, parish of Pluneret, near Auray, Brittany",Venetensis,Vannes,France,,,,medium,"Retrospective mention on printed p. 381: 'instanti Episcopo Venetensi sub die 22 maii 1868 Breve edidit quo nimirum tum Virginis Mariae, tum Annae simulacro corona imponi liceret.' The granting Brief of Pius IX is dated 22 May 1868; that is not the date of the document being reported, so act_date is null. The text does not say when (or whether) the crowning was actually carried out, so coronation_date is null. This record covers the image of the Virgin Mary; a companion record covers the image of St Anne. The passage does not state explicitly that the Marian image stands in the same sanctuary of St Anne - inferred from context, hence medium confidence. Page set to 373, where the item 'VENETEN. ...' begins (statement on p. 381); locality/diocese details taken from p. 373 of the same volume. Country: Brittany ('apud Britones', 'Britannia Armorica ... pars Galliae')."
ASS,11,1878,618,,Decretum (S. Congregatio Indulgentiis Sacrisque Reliquiis praeposita),Leo PP. XIII,"ASS 11 (1878), p. 618",https://www.vatican.va/archive/ass/documents/ASS-11-1878-ocr.pdf,retrospective_attestation,"Quo conceditur ut Archisodalitas Bmae V. Mariae a « S. Corde Iesu, » ab Ecclesia S. Andreae de Valle transferri possit in Ecclesia B. Mariae V. D. Nostrae in Foro Agonali.","Ab anno 1854 Presbyterorum Societas Exsolduni in Archidioecesi Bituricensi in Galliis florere coepit, qui vires, consilia et operam ad vineam Domini sacris expeditionibus potissimum excolendam contulerunt",Domina Nostra a Sacratissimo Corde Iesu,Notre Dame du Sacré Cœur,Blessed Virgin Mary,"Sacra Aedes Exsoldunensis (church of the Missionaries of the Sacred Heart, raised to minor basilica by Pius IX, 17 July 1874)",Issoudun,Bituricensis,Bourges,France,1879-04-26,,Archiepiscopus Bituricensis (Archbishop of Bourges; personal name not given in the text),high,"Decree transferring the Archconfraternity of Our Lady of the Sacred Heart from S. Andrea della Valle to the church in the Piazza Navona; it recalls in passing that the Apostolic See 'nomine proprio coronam Simulacro imponendi facultatem largita est Archiepiscopo Bituricensi' — granted the Archbishop of Bourges the faculty of imposing the crown, in the Holy See's own name, on the Issoudun image. No date is given for the grant or for the coronation itself, so coronation_date is null. Datum: 'Romae, ex Secretaria Sacrae Congregationis Indulgentiis Sacrisque Reliquiis praepositae dic 26 Aprilis 1879' ('dic' = 'die'); the act is dated 1879 although the volume (ASS 11) is labelled 1878 — the volume runs over into 1879; trusted the act. OCR repairs in the incipit: 'Exsokluni' -> 'Exsolduni', 'in Gallus' -> 'in Galliis'. Elsewhere 'Archisodalkate' -> 'Archisodalitate'. A second image, 'imago Dominae Nostrae a Sacratissimo Corde Iesu' left for public veneration at S. Andrea della Valle in Rome, is mentioned but no coronation is asserted of it, so no record was emitted for it."
ASS,35,1902,580,,Breve,Leo PP. XIII,"ASS 35 (1902), p. 580",https://www.vatican.va/archive/ass/documents/ASS-35-1902-3-ocr.pdf,papal_coronation_act,"BREVE quo Archiepiscopo Taurinensi committitur facultas solemniter coronandi, nomine et auctoritate Apostolica, Imaginem Mariae SS. Auxiliatricis.",Omnium sane templorum quae bo. me. Ioannes Bosco Salesianae Sodalitatis pater legifer ad maiorem Dei gloriam,Imago Mariae SS. Auxiliatricis (Beatae Virginis Opiferae),Maria Ausiliatrice,Blessed Virgin Mary,"Templum Mariae SS. Auxiliatricis, a S. Ioanne Bosco excitatum et anno 1868 dedicatum (Basilica di Maria Ausiliatrice)",Turin,Taurinensis,Turin,Italy,1903-02-13,1903,"Augustinus S. R. E. Presbyter Cardinalis Richelmy, Archiepiscopus Taurinensis",high,"Rubric OCR reads 'nomine et tauctoritate Apostolica' -> 'auctoritate'; addressee line OCR spaced as 'R i c h e l m y'. The Brief commits to the Archbishop of Turin the faculty to crown the image 'solemni ritu Nostro nomine et auctoritate', with a diadem to be imposed on both heads ('sacro utrique capiti tum Virginis tum Pueri Iesu diadema pro dignitate imponatur') - so the Infant Jesus is crowned as well. Petitioner: Michael Rua, Rector Major of the Salesians. Classified as papal_coronation_act because this is the granting act itself, though it simultaneously deputes Card. Richelmy to crown in the Pope's name (papal_legate_deputation is a defensible alternative). Exact coronation date not stated: only 'huius anni die per te eligendo', i.e. a day of 1903 to be chosen by the Archbishop. Datum 'die XIII Februarii MCMIII' = 1903, the second year of ASS vol. 35 (1902-03). Text of the act runs on to printed p. 581."
ASS,35,1902,709,,Epistola,Leo PP. XIII,"ASS 35 (1902), p. 709",https://www.vatican.va/archive/ass/documents/ASS-35-1902-3-ocr.pdf,retrospective_attestation,"EPISTOLA SS.mi D. N. Leonis PP. XIII ad Moderatorem Generalem Salesianorum, occasione eorumdem conventus.","Cogendum proxime significabas Salesianorum ex omni terrarum orbe conventum, eumque, Deiparae Adiutricis ope suffultum",Imago Deiparae Adiutricis (Opiferae Virginis),Maria Ausiliatrice,Blessed Virgin Mary,,Turin,Taurinensis,Turin,Italy,1903-05-12,1903,,medium,"Incidental mention inside a letter to Michael Rua: the forthcoming international Salesian congress is to close with the solemn crowning of the image - 'solemniis iri conclusum declarabas eiusdem magnae Dei Matris insigni corona induendae'. Same image as ASS 35, 580 (Maria Auxiliatrix, Turin); dedup expected. The letter itself names no church or town, but the address line reads 'Dilecto filio Michaeli Rua Moderatori Generali Sodalitatis Salesianae Augustae Taurinorum', hence Turin; locality/diocese/country inferred from that address line, so confidence lowered to medium. Datum OCR 'die x n Maii MGMIII' read as die XII Maii MCMIII = 1903-05-12 (Pontificatus anno vigesimo sexto confirms 1903). Coronation year 1903 inferred from the imminence of the congress relative to the letter's date."
ASS,36,1903,10,,Litterae Apostolicae,Leo PP. XIII,"ASS 36 (1903), p. 10",https://www.vatican.va/archive/ass/documents/ASS-36-1903-4-ocr.pdf,retrospective_attestation,"LITTERAE APOSTOLICAE quibus LEO PP. XIII gratulatur Archiepiscopo Cameracen, de felici exitu Incoronationis B. Mariae Virginis « Des Dunes ».",Praestans fidei ac pietatis exemplum urbe Dunkerque inter multas laetitiae demonstrationes Incoronationis Nostrae Dominae des Dunes causa excitatas,Nostra Domina des Dunes,Notre-Dame des Dunes,Blessed Virgin Mary,,Dunkerque (Dunkirk),Cameracensis,Cambrai,France,1903-06-10,1903,,high,"Papal letter of congratulation to Etienne-Marie-Alphonse (Sonnois), Archbishop of Cambrai, on the coronation of Notre-Dame des Dunes at Dunkerque; it attests the coronation rather than granting it, hence retrospective_attestation. The act is printed in French on p. 10 ('le couronnement de Notre Dame des Dunes'), with the Latin 'Versio' on p. 11 — the incipit given here is from that Versio; the French incipit after the salutation is 'L'eclatant exemple de foi et de piete donne publiquement, ces jours derniers, par la ville de Dunkerque'. No word for image/simulacrum appears: the source names only the devotional title. Coronation date not stated beyond 'ces jours derniers' / 'diebus nuper transactis' before the Datum of 10 June 1903, so only the year is recorded. Datum line: 'Donne a Rome pres Saint-Pierre, le 10 Juin 1903, de Notre Pontificat la vingt sixieme annee'. No mention of the Vatican Chapter or of a Legate. Also indexed in the volume's Summa Actorum (p. 758) and Index (p. 764) as 'de felici exitu Incoronationis B. M. V. des Dunes ... 10'. OCR of the Latin version reads 'iurganti pietatis aemulationi' (probably 'certanti'/'urgenti') and 'excitati Auctus' for 'fluctus' — repairs not applied to quoted text."
ASS,36,1903,400,,Litterae Apostolicae / Breve (Ex Secretaria Brevium; Ad perpetuam rei memoriam),Leo PP. XIII,"ASS 36 (1903), p. 400",https://www.vatican.va/archive/ass/documents/ASS-36-1903-4-ocr.pdf,retrospective_attestation,"Ecclesia B. M. V. Dominae Nostrae a Spe, Briconii extans, ad Basilicam minorem evehitur.","Vetustis sacris aedibus Deo in honorem Deiparae Virginis dicatis, ac splendidiorem ipsius cultum in Gallia efferentibus, merito accensenda est",Simulacrum B. Mariae Virginis Dominae Nostrae a Spe,Notre-Dame d'Esperance,Blessed Virgin Mary,Ecclesia B. Mariae Virginis Dominae Nostrae a Spe (raised to minor basilica by this act),"Briconium (Saint-Brieuc), Brittany",Briocensis et Trecorensis,Saint-Brieuc et Treguier,France,1902-12-20,1865,,medium,"Retrospective mention inside a minor-basilica elevation: ""Pervetustum ipsius Virginis Dei Genitricis simulacrum, prodigiis clarum, aureoque diademate Summi Pontificis nomine anno 1865 redimitum"" - i.e. crowned with a golden diadem in the name of the Supreme Pontiff in 1865. Country France is explicit (""in Gallia""); pilgrims come especially from Brittany (""e Britanniae praesertim regionibus""). Place given by OCR as ""Briconii""; identified as Saint-Brieuc because the petitioner is ""Petrus Maria Fallieres Episcopus Briocensis et Trecorensis"" - hence confidence medium rather than high. Other OCR damage on that page: ""condecoran"" for ""condecorari"", ""supplicia ... vota"" for ""supplicia""/""supplicia vota"". The coronation sentence stands on printed p. 400, just above the assigned passage window (the passage, printed_page 402, contains the end of this act); page recorded as 400 where the act and the coronation notice begin. Act dated 20 December 1902 (pontificate year 25) though printed in vol. 36 (1903-04)."
ASS,36,1903,401,,Breve (Litterae Apostolicae sub annulo Piscatoris),Leo PP. XIII,"ASS 36 (1903), p. 401",https://www.vatican.va/archive/ass/documents/ASS-36-1903-4-ocr.pdf,papal_coronation_act,Facultas conceditur Archiepiscopo Mechliniensi solemniter coronandi imaginem SSmi. Cordis Iesu in Basilica loci Berchem.,"Aedes Deo Sacras, arte non minus quam cultu ac fidelium concursu celebratas, praecipuis honoribus ex more institutoque Romanorum Pontificum ditare libenti quidem animo solemus",Imago SSmi Iesu Cordis,,Sacred Heart of Jesus,"Templum SS. Iesu Cordi dicatum, Basilica minor, served by the Congregation of the Daughters of the Sacred Heart","Berchem, suburb of Antwerp (suburbium Antverpiae civitatis vulgo Berchem)",Mechliniensis,Mechelen (Malines),Belgium,1903-04-28,,"Petrus Lambertus S. R. E. Presb. Card. Goossens, Archiepiscopus Mechliniensis",high,"Second act in the same passage (rubric and act body on printed p. 401, continued p. 402). Leo XIII commits to Cardinal Goossens the faculty to crown the image 'die per te eligendo sollemni ritu ... Nostro nomine et auctoritate', on the occasion of the 25th anniversary of the church's building; the day is left to the Archbishop, so coronation_date is null. Country not named in the act; derived from 'suburbio Antverpiae civitatis' and 'dioecesi Mechliniensi'."
ASS,36,1903,591,,"Litterae Apostolicae (Breve, sub annulo Piscatoris) - erectio in Basilicam minorem",Pius PP. X,"ASS 36 (1903), p. 591",https://www.vatican.va/archive/ass/documents/ASS-36-1903-4-ocr.pdf,retrospective_attestation,Ecclesia SS. Rosarii B. M. V. oppidi Fontanellato dioecesis Parmensis erigitur in Basilicam minorem.,"Extat intra fines Parmensis dioeceseos in oppido, cui nomen vulgo Fontanellato, sacra aedes Deo in honorem Sacratissimo Rosarii Beatae Mariae Virginis dicata",Vetus Deiparae Virginis simulacrum (Sacratissimum Rosarium B. Mariae Virginis),,Blessed Virgin Mary,"Sanctuarium sive Ecclesia Sacratissimi Rosarii B. Mariae Virginis, with the former Dominican convent",Fontanellato,Parmensis,Parma,Italy,1903-09-26,1660,,medium,"Retrospective clause: 'in qua vetus ipsius Deiparae Virginis colitur simulacrum, clarum prodigiis atque aurea corona gemmisque distincta anno 1660 redimitum.' Confidence lowered to medium because the text does NOT say by whose authority the crown was conferred (no mention of the Vatican Chapter or of a papal indult), so the papal-authority element is unattested here; a checker should verify. OCR: 'distincta' for 'distinctum'/'distinct[a corona]'; 'honorii!centias' for 'honorificentias'. Country derived from 'dioecesis Parmensis' / 'ex Aemilia ... ex aliis Italiae regionibus'."
