row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,match,image_id,image_locality,image_title,image_dates,image_series,date_agrees,annotazioni
0,9,Città del Vaticano,Città del Vaticano,Madonna della Febbre,27-8-1631,,,,rome-title+title+year,madonna-della-febbre-rome-vatican-basilica-sacri,"Rome, Vatican Basilica (sacristy)",Madonna della Febbre,1631-08-27; 1697-08-15,ACSP+LIT,yes,scheda not returned by the site API; fields from the date index only
1,101,Italia,Roma,Madonna dei Monti,3-9-1632,Conte Sforza,sì,1,church+title+year,santa-maria-de-monti-rome-santa-maria-ai-monti,"Rome, Santa Maria ai Monti",Santa Maria de' Monti,1632,LIT,yes,ERR - Frate Anselmo: data la coronazione 9 settembre 1632.
2,115,Italia,Roma,Madonna della Vittoria,6-7-1633,Conte Sforza,sì,1,church+title,santa-maria-della-vittoria-rome-santa-maria-dell,"Rome, Santa Maria della Vittoria",Santa Maria della Vittoria,1635-07-06,LIT,no,ERR - Bombelli: data l'incoronazione 6 luglio 1635 nel testo e 1633 nella didascalia dell'immagine. Briccolani: data l'incoronazione 1633.
3,58,Italia,Roma,Madonna di Strada Cupa,5-4-1634,Conte Sforza,sì,1,church+title+year,santa-maria-col-bambino-gesu-di-via-cupa-in-sant,"Rome, Santa Maria in Trastevere",Santa Maria col Bambino Gesù di via Cupa in Santa Maria in Trastevere,1634-04-05,LIT,yes,Bombelli: corona alla Madonna e al Bambino.
4,53,Italia,Roma,Madonna del Popolo,29-7-1634,Conte Sforza,sì,1,church+title+year,santa-maria-del-popolo-rome-santa-maria-del-popo,"Rome, Santa Maria del Popolo",Santa Maria del Popolo,1634,LIT,yes,Bombelli: il Bambino fu incoronato il 6 settembre 1667. Briccolani: il Bambino fu incoronato nel 1667. ERR - Frate Anselmo: data l'incoronazione 6 settembre 1667.
5,110,Italia,Roma,Madonna della Pace,29-7-1634,Conte Sforza,sì,1,church+title+year,madonna-della-pace-rome-santa-maria-della-pace,"Rome, Santa Maria della Pace",Madonna della Pace,1634-07-29,LIT,yes,
6,108,Italia,Roma,Madonna della Consolazione,7-9-1634,Conte Sforza,sì,1,church+title+year,santa-maria-della-consolazione-rome-santa-maria,"Rome, Santa Maria della Consolazione",Santa Maria della Consolazione,1634,LIT,yes,
7,47,Italia,Roma,Madonna Advocata,22-8-1635,Conte Sforza,sì,1,church+year,santa-maria-della-concezione-in-s-lorenzo-e-dama,"Rome, San Lorenzo in Damaso","Santa Maria della Concezione in S. Lorenzo, e Damaso",1635,LIT,yes,ERR - Frate Anselmo: la titola Santissima Concezione (antica confraternita a San Lorenzo in Damaso).
8,144,Italia,Roma,Madonna della SS Annunziata,30-12-1635,Conte Sforza,sì,1,church+title+year,santa-maria-annunziata-in-tor-de-specchi-rome-to,"Rome, Tor de' Specchi",Santa Maria Annunziata in Tor de' Specchi,1635-12-30,LIT,yes,Frate Anselmo: la titola Santa Maria Annuziata a Tor de' Specchi.
9,55,Italia,Roma,Madonna Advocata,29-3-1636,Conte Sforza,sì,1,church+year,santa-maria-in-araceli-rome-santa-maria-in-araco,"Rome, Santa Maria in Aracoeli",Santa Maria in Araceli,1636,LIT,yes,ERR - Frate Anselmo: la titola Santa Maria della Luce.
10,4,Città del Vaticano,Città del Vaticano,Madonna della Pietà,31-8-1637,Conte Sforza,sì,1,rome-title+title+year,madonna-della-pieta-michelangelo-s-pieta-rome-va,"Rome, Vatican Basilica (Pietà)",Madonna della Pietà (Michelangelo's Pietà),1637-08-31,LIT,yes,ERR - Frate Anselmo: data l'incoronazione 31 agosto 1633.
11,72,Italia,Roma,Madonna della Strada,14-8-1638,Conte Sforza,sì,1,church+title+year,santa-maria-della-strada-nella-chiesa-del-gesu-r,"Rome, Chiesa del Gesù",Santa Maria della Strada nella Chiesa del Gesù,1638,LIT,yes,
12,132,Italia,Roma,Madonna di Santa Teresa,16-12-1638,Conte Sforza,sì,1,church+title+year,santa-maria-in-santa-teresa-alle-quattro-fontane,"Rome, Santa Teresa alle Quattro Fontane",Santa Maria in Santa Teresa alle quattro Fontane,1638-09-16,LIT,yes,ERR - Frate Anselmo: data l'incoronazione 16 settembre 1638.
13,61,Italia,Roma,Madonna del Rosario,6-12-1640,Capitolo,sì,1,church+title+year,santa-maria-del-rosario-nella-chiesa-di-santa-ma,"Rome, Santa Maria sopra Minerva",Santa Maria del Rosario nella Chiesa di Santa Maria,1640; 1644-08-28,LIT,yes,Bombelli: corona al Bambino 15 dicembre 1654. ERR - Bombelli: data nell'immagine anno 1640. Briccolani: corona al Bambino anno 1654.
14,64,Italia,Roma,Madonna con il Bambino,4-3-1641,Capitolo,sì,1,church+year,santa-maria-in-s-agostino-rome-sant-agostino,"Rome, Sant'Agostino",Santa Maria in S. Agostino,1641; 1643,LIT,yes,
15,70,Italia,Roma,Madonna Advocata,14-3-1641,Capitolo,sì,1,church+year,santa-maria-nella-chiesa-de-ss-domenico-e-sisto,"Rome, monastery of the Dominican nuns of San Sisto (Santi Domenico e Sisto, Magnanapoli)","Santa Maria nella Chiesa de' SS. Domenico, e Sisto a Monte Magnanapoli",1641-01-14,LIT,yes,ERR - Frate Anselmo: la titola Santa Maria delle Grazie.
16,124,Italia,Roma,Madonna del Carmine,15-7-1641,Capitolo,sì,1,church+year,santa-maria-in-traspontina-rome-santa-maria-in-t,"Rome, Santa Maria in Traspontina",Santa Maria in Traspontina,1641-06-15,LIT,yes,Bombelli: corona al Bambino aprile 1651. ERR - Bombelli: incoronata il 16 giugno 1641. Briccolani: corona al Bambino 1651.
17,79,Italia,Roma,Madonna con Bambino,11-8-1641,Capitolo,sì,1,church+year,santa-maria-in-s-cosimato-in-trastevere-rome-san,"Rome, San Cosimato in Trastevere",Santa Maria in S. Cosimato in Trastevere,1641,LIT,yes,ERR - Briccolani: incoronazione nell'anno 1641 e del Bambino nel 1644.
18,10,Città del Vaticano,Città del Vaticano,Madonna della Febbre,31-1-1643,Capitolo,sì,1,rome-title+title,madonna-della-febbre-rome-vatican-basilica-sacri,"Rome, Vatican Basilica (sacristy)",Madonna della Febbre,1631-08-27; 1697-08-15,ACSP+LIT,no,
19,60,Italia,Roma,Madonna Advocata,1-2-1643,Capitolo,sì,1,church+year,santa-maria-in-via-lata-rome-santa-maria-in-via,"Rome, Santa Maria in Via Lata",Santa Maria in Via Lata,1643,LIT,yes,
20,104,Italia,Roma,Madonna del Pianto,20-5-1643,Capitolo,sì,1,church+title+year,santa-maria-del-pianto-rome-santa-maria-del-pian,"Rome, Santa Maria del Pianto",Santa Maria del Pianto,1643,LIT,yes,Briccolani: corona al Bambino anno 1651.
21,7,Città del Vaticano,Città del Vaticano,Madonna del Soccorso,17-11-1643,Capitolo,sì,1,rome-title+title+year,madonna-del-soccorso-rome-vatican-basilica-cappe,"Rome, Vatican Basilica (Cappella Gregoriana)",Madonna del Soccorso,1643-11-17,LIT,yes,Bombelli: corona al Bambino nel 1647. Briccolani: corona al Bambino nel 1647.
22,116,Italia,Roma,Madonna delle Grazie,9-6-1644,Capitolo,sì,1,church+title+year,santa-maria-delle-grazie-a-porta-angelica-rome-s,"Rome, Santa Maria delle Grazie a Porta Angelica",Santa Maria delle Grazie a Porta Angelica,1644-06-09,LIT,yes,
23,76,Italia,Roma,Madonna di Loreto,12-12-1644,Capitolo,sì,1,church+title+year,santa-maria-di-loreto-in-s-salvator-in-lauro-rom,"Rome, San Salvatore in Lauro",Santa Maria di Loreto in S. Salvator in Lauro,1644,LIT,yes,Bombelli: corona al Bambino due anni dopo l'incoronazione. Briccolani: corona al Bambino anno 1646.
24,80,Italia,Roma,Madonna con Bambino,5-1-1645,Capitolo,sì,1,,,,,,,,
