image_id,image_title_vernacular,country,series,volume,year,page,folio,folio_to,citation,source_pdf_url,act_number,act_type,pope,evidence_type,act_date,concession_date,coronation_date,legate,deputy,register_refs,documents,rubric_latin,incipit_latin,confidence,notes
notre-dame-d-afrique-icosium-algiers,Notre-Dame d'Afrique,Algeria,AAS,53,1961,356,,,"AAS 53 (1961), p. 356",https://www.vatican.va/archive/aas/documents/AAS-53-1961-ocr.pdf,VI,Litterae Apostolicae,Ioannes PP. XXIII,retrospective_attestation,1960-11-23,,1876,,,,,Beata Maria Virgo « Afrorum Domina » praecipua Patrona totius archidioecesis Algeriensis declaratur.,Praefervidum erga intaminatam Dei Genetricem amorem etiam in repositis terris inter omnes constat vigere. Iam inde antiquitus in regione Algeriensi,high,"Patron declaration stating 'Anno MDCCCLXXVI Decessor Noster ven. mem. Pius Pp. IX ecclesiam ... ad Basilicae Minoris honorem et dignitatem evexit, et statuam Beatae Mariae Virginis aurea corona, suo nomine et auctoritate, redimiri iussit'. OCR renders the year as 'm d c c c l x x v ï' = MDCCCLXXVI (1876). The bronze statue was given by the Children of Mary of Lyons and blessed by the first bishop of Algiers in 1840 ('anno MDCCCXXXX'). Pius XII/John XXIII text also records that John XXIII himself visited the shrine on 19 March 1950."
nostra-senyora-de-canolich-sant-julia-de-loria,Nostra Senyora de Canòlich,Andorra,AAS,91,1999,345,,,"AAS 91 (1999), p. 345",https://www.vatican.va/archive/aas/documents/AAS-91-1999-ocr.pdf,V,Litterae Apostolicae,Ioannes Paulus PP. II,papal_coronation_act,1998-12-07,,,,,,,"Imago beatae Mariae Virginis titulo « Nostra Seynora de Canòlich » invocatae, quae pie colitur in Andorrae Principatus oppido « Sant Julia de Loria » intra fines Urgellensis dioecesis posito, pretioso diademate redimiri sinitur « nomine et auctoritate Summi Pontificis ».","In antiquo oppido Andorrae Principatus « Sant Julia de Loria » intra fines dioecesis Urgellensis posito, iam a saeculo XIII a fidelibus loci finitimarumque regionum peculiari veneratione colitur decora imago beatae Mariae Virginis",high,"Coronation granted 'Nostro nomine et auctoritate' but no date of the crowning given. Petition of Bishop Ioannes Martí Alanis, letters of 15 October [1998]. OCR gives the vernacular title as « Nostra Seynora de Canòlich » (Catalan 'Senyora'); the oppidum is printed « Sant Julia de Loria » (Sant Julià de Lòria). Country explicit in the text ('Andorrae Principatus')."
nuestra-senora-del-valle-catamarca,Nuestra Señora del Valle,Argentina,AAS,8,1916,144,,,"AAS 8 (1916), p. 144",https://www.vatican.va/archive/aas/documents/AAS-08-1916-ocr.pdf,V,Epistola,Benedictus PP. XV,retrospective_attestation,1916-03-13,,1891,,,,,"AD R. P. D. BARNABAM PIEDRABUENA, EPISCOPUM CATAMARCENSIUM, DE SOLLEMNIBUS GRATULATUR, QUAE B. M. V. « DEL VALLE » APPARANTUR.",Litteris tuis officio functus es grato admodum Nobis. Nuntiasti enim Catamarcensium catholicorum in almam Dei Matrem adeo studia exardescere,medium,"The batch passage is the volume index (printed p. 500), whose entry ('Litteris tuis. - Ad R. P. D. Barnabam Piedrabuena, episcopum Catamarciensium, de sollemnibus gratulatur, quae B. M. V. « dei Valle » apparantur') does not itself mention a crowning; the crowning is attested in the act it points to, read in txt/AAS-08-1916-ocr.txt at printed p. 144: 'iidem, labente vicesimo quinto anno ex quo Virginis simulacrum, sollemni Ecclesiae ritu, aureo donatum est diademate, velint huius eventus faustitatem iteranda pietatis significatione commemorare'. `page` therefore set to 144, not to the index page 500. coronation_date 1891 is arithmetic: the 25th year was running in 1916 ('labente vicesimo quinto anno'); the act itself states no year, so verify. The act names no authority for the original coronation beyond 'sollemni Ecclesiae ritu'. Country inferred from the see of Catamarca (the act speaks of an Apostolic Legate 'apud istam Rempublicam'). The Legate named in the act (Achilles, titular archbishop of Thessalonica) is deputed for the 1916 anniversary solemnities, not for the coronation, so `legate` is left null."
nuestra-senora-del-valle-catamarca,Nuestra Señora del Valle,Argentina,AAS,33,1941,447,,,"AAS 33 (1941), p. 447",https://www.vatican.va/archive/aas/documents/AAS-33-1941-ocr.pdf,,Litterae Apostolicae,Pius PP. XII,retrospective_attestation,1941-07-02,,1891,,,,,"ECCLESIA CATHEDRALIS CAIAMARCENSIS, TITULO B. MARIAE VIRG. «A VALLE», BASILICAE MINORIS PRIVILEGIIS HONORIBUSQUE AUGETUR.","Postulat a Nobis Venerabilis Frater Catamarcensium Episcopus, intra fines Reipublicae Argentinae, quinquagesimi anni occasione ab imposita corona aurea, qua statua Beatae Mariae Virginis a Valle ... redimita fuit",high,"Basilica Minor grant made on the fiftieth anniversary of the crowning: 'quinquagesimi anni occasione ab imposita corona aurea, qua statua Beatae Mariae Virginis a Valle, in templo Cathedrali suo servata, redimita fuit'. coronation_date 1891 is computed from that fifty-year interval (act dated 1941), not stated explicitly - please verify. Rubric OCR 'CAIAMARCENSIS' for 'CATAMARCENSIS'; the body reads 'Catamarcensium Episcopus'. Datum reads 'die u m. Iulii' (= II, 2 July). No act numeral: the section heading is a bare 'LITTERAE APOSTOLICAE'."
nuestra-senora-del-valle-catamarca,Nuestra Señora del Valle,Argentina,AAS,102,2010,454,,,"AAS 102 (2010), p. 454",https://www.vatican.va/archive/aas/documents/2010/agosto%202010.pdf,IV,Litterae Apostolicae,Benedictus PP. XVI,retrospective_attestation,2010-06-29,,,,,,,Sanctuario Dominae Nostrae del Valle Catamarcensis dioecesis Rosa aurea tribuitur.,"Ab incohato iam saeculo XVII Beatam Mariam Virginem del Valle colere coeperunt fideles, cuius signum Decessor Noster Leo XIII, insignis memoriae, coronavit.",medium,Golden Rose grant ('Ad futuram rei memoriam') which attests in passing that Leo XIII crowned the image. No coronation year is given in the act — left null rather than supplied. Country not stated; inferred from the diocese of Catamarca (Argentina). The Golden Rose was to be presented by Card. Franciscus Xaverius Errázuriz Ossa.
nuestra-senora-del-milagro-cordoba,Nuestra Señora del Milagro,Argentina,AAS,3,1911,177,,,"AAS 3 (1911), p. 177",https://www.vatican.va/archive/aas/documents/AAS-03-1911-ocr.pdf,I,Litterae Apostolicae,Pius PP. X,retrospective_attestation,1911-04-03,,1892,,,,,"ECCLESIA S. DOMINICI CONFESSORIS, CORDUBAE IN REPUBLICA ARGENTINA, ERIGITUR IN BASILICAM MINOREM.","Praestantiora Catholici Orbis Sanctuaria, quae antiqua Christiani populi religione celebria, tum molis amplitudine tum liberalium artium ornamento",high,'Comperimus similiter eodem illo anno [MDCCCXCII] Leonis PP. XIII re. me. Decessoris Nostri nomine et auctoritate aureo diademate redimitam fuisse vetustissimam ac thaumaturgam Virginis Deiparae Imaginem'. OCR prints the year as 'MDCCcxcii' = 1892. The image is said to have come ashore at Callao in Peru and thence been taken to Córdoba.
antiquum-simulacrum-sancti-nicolai-barensis-la-r,,Argentina,AAS,40,1948,290,,,"AAS 40 (1948), p. 290",https://www.vatican.va/archive/aas/documents/AAS-40-1948-ocr.pdf,,Litterae Apostolicae,Pius PP. XII,retrospective_attestation,1946-12-06,,1920,,,,,"SANCTUS NICOLAUS BARENSIS, EP. ET CONF., CIVITATIS AC DIOECESIS RIOIENSIS, IN REPUBLICA ARGENTINA, PRIMUS AC PRAECIPUUS PATRONUS CAELESTIS CONSTITUITUR.","Perennem esse Religionem a Christo Domino revelatam, hoc et de fide est, et a saeculari Ecclesiae historia comprobatum",high,"Patron-declaration act attesting the crowning: '...usque ad Decessorem Nostrum Pius Pp. X, fel. rec., qui, anno MCMXIII, aureum diadema, a semetipso benedictum, donavit, ut Eiusdem Simulacro imponeretur; quod tamen serius factum est, anno MCMXX, Decessore Nostro Benedicto Pp. XV ... feliciter regnante.' Crowned image is of a saint, not of the Virgin. Letter dated 1946 but printed in AAS vol. 40 (1948); the act carries no roman numeral (single Litterae Apostolicae in that issue). Passage printed_page 291; act opens on p. 290."
la-pura-y-limpia-concepcion-del-rio-lujan-nuestr,La Pura y Limpia Concepción del Río Luján (Nuestra Señora de Luján),Argentina,AAS,39,1947,627,,,"AAS 39 (1947), p. 627",https://www.vatican.va/archive/aas/documents/AAS-39-1947-ocr.pdf,II,Nuntius radiophonicus,Pius PP. XII,retrospective_attestation,1947-10-12,,1887,,,,,A SUMMO PONTIFICE CHRISTIFIDELIBUS DATUS OB CONVENTUM MARIALEM E TOTA ARGENTINA IN URBE LUJAN COADUNATIS.,,high,"The passage recalls marble tablets in the sanctuary commemorating 'la solemne coronación de 1887 — la primera en América' and the 1930 recognition of her Patrocinio over the lands of the Plata. Only the year 1887 is given. Act begins on printed page 627 (rubric visible in context); the passage's own printed_page is 628. Body in Spanish, no Latin incipit."
beatae-mariae-virginis-titulo-montis-carmeli-ima,,Argentina,AAS,19,1927,300,,,"AAS 19 (1927), p. 300",https://www.vatican.va/archive/aas/documents/AAS-19-1927-ocr.pdf,II,Litterae Apostolicae,Pius PP. XI,retrospective_attestation,1927-04-23,,,,,,,"TITULUS ET HONORES BASILICAE MINORIS CONCEDUNTUR ECCLESIAE S. FRANCISCI ASS. CIVITATIS MENDOZA, IN DIOECESI SANCTI IOANNIS DE CUJO.","Sacra aedes intra limites dioecesis Sancti Ioannis de Cujo in civitate Mendoza in honorem divi Francisci Asisiensis, licet recens erecta",high,Coronation attested in passing: 'rec. mem. Pius PP. X aureo eandem diademate augendam curavit'. No coronation year stated. Country explicit ('Reipublicae Argentinae').
nuestra-senora-del-buen-viaje-moron,Nuestra Señora del Buen Viaje,Argentina,AAS,55,1963,442,,,"AAS 55 (1963), p. 442",https://www.vatican.va/archive/aas/documents/AAS-55-1963-ocr.pdf,I,Litterae Apostolicae,Ioannes PP. XXIII,retrospective_attestation,1962-12-01,,,,,,,Titulus ac privilegia Basilicae Minoris cathedrali ecclesiae Moronensi conferuntur.,"Terrena in peregrinatione constituti cives Moronenses honori Beatae Mariae Virginis, a prima labe immunis, quam a « felici itinere » vulgo appellant ac ducem habent ad caelestem, quo contendimus, patriam, monumentum praeclarum atque spectabile in urbe sua erexerunt",medium,"Basilica Minor act recording John XXIII's own earlier grant: 'id simulacrum aureo diademate sivimus, Nostra auctoritate, redimiri, Apostolicis Litteris die xix mensis Decembris anno MCMLX sub Piscatoris anulo datis' — i.e. the faculty was granted by Apostolic Letters of 1960-12-19; the date of the coronation ceremony itself is not stated, so coronation_date left null. Country not stated in the act; inferred from the see of Morón (Bishop Michael/Miguel Raspanti) - please verify."
nuestra-senora-del-rosario-rosario,Nuestra Señora del Rosario,Argentina,AAS,48,1956,120,,,"AAS 48 (1956), p. 120",https://www.vatican.va/archive/aas/documents/AAS-48-1956-ocr.pdf,I,Litterae Apostolicae,Pius PP. XII,retrospective_attestation,1954-09-02,,,,,,,"BEATA MARIA V. A SACRATISSIMO ROSARIO IN PRAECIPUAM CAELESTEM PATRONAM CIVITATIS ET DIOECESIS ROSARIENSIS, IN REPUBLICA ARGENTINA, ELIGITUR.","Quae nobis rettulit Dilectus Filius Noster Antonius S. R. E. Presbyter Cardinalis Caggiano, Episcopus Rosariensis, in Republica Argentina, maximo Nos gaudio affecerunt.",medium,"Patron-declaration act; attests 'anno MCMXLI Ven. Canonicorum Collegium Patriarchalis Basilicae Nostrae S. Petri in Vaticano ... sacram Imaginem ... aureo gemmisque ornato diademate redimiendam decreverit' - i.e. the Vatican Chapter DECREED the crowning in 1941; the date of the crowning itself is not given, so coronation_date left null. The image venerated is the 1773 replacement of the older statue. Country explicit ('in Republica Argentina'). Act begins on printed page 119."
nuestra-senora-del-rosario-rosario,Nuestra Señora del Rosario,Argentina,AAS,57,1965,714,,,"AAS 57 (1965), p. 714",https://www.vatican.va/archive/aas/documents/AAS-57-1965-ocr.pdf,III,Litterae Apostolicae,Paulus PP. VI,retrospective_attestation,1964-11-23,,1941,,,,,Titulus ac privilegia Basilicae Minoris ecclesiae metropolitanae Rosariensi tribuuntur.,"Marialis nomine ac pietate merito praedicatur urbs perfrequens et industria, utpote quae, « Rosarium » appellata, Beatam Mariam Virginem a Rosario conditricem suam habeat atque patronam.",medium,"Basilica Minor act. Coronation attested of the second (substitute) image: 'Pro qua effigie post aliquid temporis altera fuit substituta, quae, magis in dies fidelium obsequiis ornata, anno MCMXLI aureo diademate est redimita' (1941); no crowning authority named. Country inferred (the act mentions the image was originally brought 'ex urbe Sanctae Fidei' = Santa Fe, and Pius XII declared her Patron of city and diocese in 1954); not stated. Vernacular title supplied from the Latin."
signum-virginis-immaculatae-linz-lincia,,Austria,AAS,16,1924,229,,,"AAS 16 (1924), p. 229",https://www.vatican.va/archive/aas/documents/AAS-16-1924-ocr.pdf,III,Epistola,Pius PP. XI,retrospective_attestation,1924-04-12,,1902,Andreas Card. Fruehwirth,,,,"AD EM.UM P. D. ANDREAM TIT. SS. COSMAE ET DAMIANI S. R. E. PRESB. CARD. FRUEHWIRTH, QUEM LINCIAM LEGATUM SUUM MITTIT OCCASIONE DEDICATIONIS NOVI TEMPLI CATHEDRALIS.","Linciae, in urbe episcopali illius in Austria dioecesis quae, ob singularem Deiparae amorem cultumque, Marialis merito nuncupatur",medium,"Act III begins on printed p. 228 (verified in txt/AAS-16-1924-ocr.txt); the coronation reference falls on p. 229, the passage page, which is used here. The OCR of this page interleaves two columns: 'cuius signum, venerationi Linciensium in sacello novi templi propositum, ... Leo XIII aurea corona, a se pie liberaliterque muneri data, anno MDCCCCII redimiri iusserat'. The legation itself is for the cathedral dedication, not for a coronation."
maria-plain-mons-plain-near-salzburg,Maria Plain,Austria,AAS,45,1953,173,,,"AAS 45 (1953), p. 173",https://www.vatican.va/archive/aas/documents/AAS-45-1953-ocr.pdf,I,Litterae Apostolicae,Pius PP. XII,retrospective_attestation,1951-09-22,,,,,,,"BASILICAE MINORIS TITULO AC DIGNITATE AFFICITUR ECCLESIA B. MARIAE V. IN CAELUM ASSUMPTAE, IN MONTE « PLAIN » INTRA ARCHIDIOECESIS SALISBURGENSIS FINES.","Gementium Solatrix eademque ad caelestem gloriam Assumpta, Beata Maria Virgo in Templo, supra amoenum montem « Plain », quem vocant, prope Salisburgum posito, religiosis ornatur obsequiis",medium,"Basilica Minor elevation; attests the image was 'Benedicti Pp. XIV, Decessoris Nostri, fel. rec., nomine et auctoritate, aureo diademate redimita'. The year is only indicated relatively: the image was restored in 1732 and crowned 'sex fere lustris expletis' (after nearly six lustra, i.e. c. 30 years), which would give c. 1762 — inconsistent with Benedict XIV (d. 1758); coronation_date left null for human check. Country Austria inferred from 'prope Salisburgum' / Archdiocese of Salzburg (not stated in the passage)."
image-brest-brzesc,,Belarus,AAS,87,1995,832,,,"AAS 87 (1995), p. 832",https://www.vatican.va/archive/aas/documents/AAS-87-1995-ocr.pdf,IV,Litterae Apostolicae,Ioannes Paulus PP. II,papal_coronation_act,1995-06-07,,,,,,,"Imago Beatae Virginis servata in ecclesia Exaltationi Sanctae Crucis dicata loco vulgo dicto Brzesc in dioecesi Pinskensi Latinorum, pretioso diademate redimiri sinitur nomine et auctoritate Summi Pontificis.","Beata Virgo Maria divinae maternitatis dono et munere, quo cum Filio Redemptore unitur, suisque singularibus gratiis et muneribus, etiam cum Ecclesia intime coniungitur",medium,"Country Belarus inferred from the Latin diocese of Pinsk and the place Brzesc (Brest); not stated in the act. Cardinal Kazimierz Świątek, Apostolic Administrator of Pinsk, deputed to impose the crown. No title given for the image."
matka-boza-budslawska-budslaw-budslau,Matka Boża Budsławska,Belarus,AAS,87,1995,833,,,"AAS 87 (1995), p. 833",https://www.vatican.va/archive/aas/documents/AAS-87-1995-ocr.pdf,V,Litterae Apostolicae,Ioannes Paulus PP. II,papal_coronation_act,1995-06-07,,,,,,,"Imago Mariae Sanctissimae quae in ecclesia oppidi v.d. Budslaw colitur, pretioso diademate redimitur.","Purissima Virgo Maria « imago Ecclesiae est, forma et anticipatio humani generis gratia renovati, exemplar spesque certa iis omnibus qui caelestem ad Hierosolymitanam civitatem procedunt » (Orientale lumen, 6).",medium,"Country Belarus inferred from the archdiocese of Minsk-Mohilev; not stated in the act. Cardinal Kazimierz Świątek (OCR: « &wiatek ») deputed to impose the crown solemnly. Cf. AAS 88 (1996) 695, which states the crowning took place in 1995."
matka-boza-budslawska-budslaw-budslau,Matka Boża Budsławska,Belarus,AAS,88,1996,695,,,"AAS 88 (1996), p. 695",https://www.vatican.va/archive/aas/documents/AAS-88-1996-ocr.pdf,VI,Litterae Apostolicae,Ioannes Paulus PP. II,retrospective_attestation,1996-06-11,,1995,,,,,"Sancta Dei Genetrix Maria, cuius imago recolitur in pago Budslaw, Patrona caelestis archidioecesis Minscensis Latinorum-Mohiloviensis Latinorum confirmatur.","Sanctam Dei Matrem, cuius gratiosa imago servata in sanctuario Budslaviensi superiore anno Nostro nomine et auctoritate pretioso diademate est redimita",medium,"Patron-confirmation act that states in passing that the Budslaw image was crowned « superiore anno » in the Pope's name and authority, i.e. in 1995 (the concession is AAS 87 [1995] 833, dated 7 June 1995). Country Belarus inferred from the archdiocese; not stated in the act."
